num,ambito,F,M,stem,color
1,Architecture and construction,49206,61345,Sì,Blue
2,Engineering and engineering trades,47454,159780,Sì,Blue
3,Physical sciences,21211,28222,Sì,Blue
4,Mathematics and statistics,10842,10581,Sì,Blue
5,Information and Communication Technologies (ICTs),2262,18522,Sì,Blue
6,Biological and related sciences,52753,18277,Sì,Blue
7,Environment,5331,4376,Sì,Blue
8,Social and behavioural sciences,178195,97523,No,Purple
9,Agriculture,23007,23321,No,Purple
10,Arts,41478,15818,No,Purple
11,Journalism and information,38506,16417,No,Purple
12,Humanities (except languages),18193,18331,No,Purple
13,Languages,140611,29188,No,Purple
14,Education,85288,5240,No,Purple
15,Personal services,23453,31811,No,Purple
16,Law,70986,50561,No,Purple
17,Business and administration,115207,124794,No,Purple
18,Health,146579,72055,No,Purple
